,param_first_scale,param_frequency,param_model,param_model__alpha,param_second_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__n_components,nrmse
291,mad_scaling_clipping_channel_trial,power_phase,ExtraTreesRegressor,,RobustScaler(),,,0.05,,,0.9786539033498766
292,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,63.0,,0.9673039010087466
293,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,63.0,,0.9732892355070341
294,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,63.0,,1.0177077338401177
295,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,63.0,,0.9711805739199874
296,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,63.0,,0.9788328498779353
297,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,63.0,,1.0160353855107562
298,mad_scaling_clipping_channel_trial,power_phase,PLSRegression(),,RobustScaler(),,,nan,,32.0,1.115224074226059
299,passthrough,power_phase,Ridge,123284.67394420685,passthrough,,,nan,,,0.9930261483092713
300,mad_scaling_clipping_channel_trial,passthrough,Ridge,123284.67394420685,passthrough,,,nan,,,0.9682521980476665
301,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,123284.67394420685,passthrough,,,nan,,,0.9987500970472704
302,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,0.956614889883686
303,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,0.9684940891793012
304,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,1.0048152415721017
305,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,0.9612331365150393
306,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,0.9703344862603347
307,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,1.0055293318812661
308,passthrough,passthrough,PLSRegression(),,passthrough,,,nan,,32.0,1.192198590975079
309,passthrough,passthrough,Ridge,0.006579332246575682,passthrough,,,nan,,,1.2260482265977264
310,passthrough,functional_connectivity,Ridge,0.006579332246575682,passthrough,,,nan,,,1.0928483266689561
311,mad_scaling_clipping_channel_trial,power_phase,Ridge,0.006579332246575682,passthrough,,,nan,,,1.179900353458164
312,passthrough,power_phase,ExtraTreesRegressor,,passthrough,,,0.05,,,0.9786961769802646
313,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.2,31.0,,0.9648040223194142
314,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.2,31.0,,0.9715580839984641
315,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.2,31.0,,1.0115638481638305
316,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.2,31.0,,0.9669439843617209
317,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.2,31.0,,0.97450107405449
318,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.2,31.0,,1.0108594637914419
319,passthrough,functional_connectivity,PLSRegression(),,passthrough,,,nan,,16.0,1.0173925442759062
320,passthrough,passthrough,Ridge,2.848035868435805e-07,passthrough,,,nan,,,4.153523485721396
321,passthrough,functional_connectivity,Ridge,2.848035868435805e-07,passthrough,,,nan,,,1.0928535004026068
322,mad_scaling_clipping_channel_trial,power_phase,Ridge,2.848035868435805e-07,passthrough,,,nan,,,1.1779062565973724
323,passthrough,passthrough,ExtraTreesRegressor,,passthrough,,,0.05,,,0.9755030816008765
324,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.05,63.0,,0.9682434992291452
325,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.05,63.0,,0.9762927151388189
326,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.05,63.0,,1.0162714732163654
327,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.05,63.0,,0.9714443350433333
328,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.05,63.0,,0.9743980766105752
329,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.05,63.0,,1.0151371194532053
330,passthrough,power_phase,PLSRegression(),,passthrough,,,nan,,32.0,1.0991372427375228
331,passthrough,passthrough,Ridge,100000000.0,RobustScaler(),,,nan,,,1.061105644412257
332,passthrough,functional_connectivity,Ridge,100000000.0,RobustScaler(),,,nan,,,0.9999566859948457
333,mad_scaling_clipping_channel_trial,power_phase,Ridge,100000000.0,RobustScaler(),,,nan,,,0.9984379224541546
334,mad_scaling_clipping_channel_trial,passthrough,ExtraTreesRegressor,,RobustScaler(),,,0.1,,,0.9729531898144494
335,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,63.0,,0.9585467552774579
336,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,63.0,,0.967149912146142
337,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,63.0,,1.0058141377079584
338,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,63.0,,0.9605067456467258
339,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,63.0,,0.9710109177000517
340,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,63.0,,1.0063151616230472
341,mad_scaling_clipping_channel_trial,power_phase,PLSRegression(),,RobustScaler(),,,nan,,8.0,0.9947842810996409
342,passthrough,power_phase,Ridge,1e-08,RobustScaler(),,,nan,,,2.1209834847070925
343,mad_scaling_clipping_channel_trial,passthrough,Ridge,1e-08,RobustScaler(),,,nan,,,1.1771054706745505
344,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,1e-08,RobustScaler(),,,nan,,,1.0929735130058784
345,mad_scaling_clipping_channel_trial,power_phase,ExtraTreesRegressor,,RobustScaler(),,,sqrt,,,0.9858093653232471
346,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,31.0,,0.9626446418506517
347,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,31.0,,0.9695907872920948
348,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,31.0,,1.0113583436914106
349,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,31.0,,0.9642718390733545
350,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,31.0,,0.9741649463985601
351,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.05,31.0,,1.0085713721651455
352,mad_scaling_clipping_channel_trial,power_phase,PLSRegression(),,RobustScaler(),,,nan,,16.0,1.0401938500427292
353,passthrough,power_phase,Ridge,0.006579332246575682,RobustScaler(),,,nan,,,1.9804124914867176
354,mad_scaling_clipping_channel_trial,passthrough,Ridge,0.006579332246575682,RobustScaler(),,,nan,,,1.1802606410832879
355,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,0.006579332246575682,RobustScaler(),,,nan,,,1.0929795394072672
356,mad_scaling_clipping_channel_trial,functional_connectivity,ExtraTreesRegressor,,RobustScaler(),,,0.05,,,1.0003108202619442
357,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,31.0,,0.9631063840333224
358,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,31.0,,0.9716813385467368
359,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,31.0,,1.0123533524964523
360,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,31.0,,0.9676216829372962
361,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,31.0,,0.9725471114677993
362,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,31.0,,1.0116833690373006
363,mad_scaling_clipping_channel_trial,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,16.0,1.0174522992691508
364,passthrough,power_phase,Ridge,0.006579332246575682,passthrough,,,nan,,,1.0698956672561708
365,mad_scaling_clipping_channel_trial,passthrough,Ridge,0.006579332246575682,passthrough,,,nan,,,1.1798647168590168
366,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,0.006579332246575682,passthrough,,,nan,,,1.093231161642262
367,mad_scaling_clipping_channel_trial,functional_connectivity,ExtraTreesRegressor,,passthrough,,,0.05,,,1.0003169438663675
368,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,31.0,,0.9642921294317973
369,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,31.0,,0.9750118580245292
370,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,31.0,,1.0123533524964523
371,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,31.0,,0.9676216657292867
372,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,31.0,,0.9743469674374627
373,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,31.0,,1.01102584395681
374,mad_scaling_clipping_channel_trial,functional_connectivity,PLSRegression(),,passthrough,,,nan,,16.0,1.0174522992691508
375,passthrough,passthrough,Ridge,151.99110829529332,RobustScaler(),,,nan,,,3.2492079461438603
376,passthrough,functional_connectivity,Ridge,151.99110829529332,RobustScaler(),,,nan,,,1.0749738636099528
377,mad_scaling_clipping_channel_trial,power_phase,Ridge,151.99110829529332,RobustScaler(),,,nan,,,1.1755275720005307
378,passthrough,functional_connectivity,ExtraTreesRegressor,,RobustScaler(),,,0.05,,,1.000628095751141
379,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,63.0,,0.9586265545755225
380,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,63.0,,0.9669364675221426
381,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,63.0,,1.0056477708099736
382,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,63.0,,0.9609456973902458
383,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,63.0,,0.9699526877322996
384,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,63.0,,1.0048793382899306
385,mad_scaling_clipping_channel_trial,passthrough,PLSRegression(),,RobustScaler(),,,nan,,8.0,0.9665117121774056
386,passthrough,power_phase,Ridge,5.3366992312063015,passthrough,,,nan,,,1.0697238216671678
387,mad_scaling_clipping_channel_trial,passthrough,Ridge,5.3366992312063015,passthrough,,,nan,,,1.176894721448686
388,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,5.3366992312063015,passthrough,,,nan,,,1.0884653240597622
389,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,31.0,,0.9593572009022299
390,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,31.0,,0.9669773527031609
391,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,31.0,,1.000939804741639
392,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,31.0,,0.9597500780171718
393,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,31.0,,0.9684471274764002
394,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,31.0,,1.0021929554994666
395,passthrough,passthrough,PLSRegression(),,passthrough,,,nan,,4.0,1.000715881915935
396,passthrough,passthrough,Ridge,100000000.0,passthrough,,,nan,,,1.0002378500615667
397,passthrough,functional_connectivity,Ridge,100000000.0,passthrough,,,nan,,,1.0001621477596352
398,mad_scaling_clipping_channel_trial,power_phase,Ridge,100000000.0,passthrough,,,nan,,,0.9956507137783903
399,mad_scaling_clipping_channel_trial,passthrough,ExtraTreesRegressor,,passthrough,,,0.1,,,0.9729591781870105
400,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,63.0,,0.9583280420572039
401,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,63.0,,0.9680265071485369
402,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,63.0,,1.00587292719124
403,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,63.0,,0.9605067492815681
404,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,63.0,,0.9689838894191297
405,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,63.0,,1.0063151616230472
406,mad_scaling_clipping_channel_trial,power_phase,PLSRegression(),,passthrough,,,nan,,8.0,0.9947842810666557
407,passthrough,power_phase,Ridge,8.111308307896873e-06,passthrough,,,nan,,,1.0712004271663516
408,mad_scaling_clipping_channel_trial,passthrough,Ridge,8.111308307896873e-06,passthrough,,,nan,,,1.1802183068349552
409,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,8.111308307896873e-06,passthrough,,,nan,,,1.0932363181634706
410,mad_scaling_clipping_channel_trial,power_phase,ExtraTreesRegressor,,passthrough,,,0.1,,,0.9777085863538284
411,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.1,31.0,,0.9627930197992494
412,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.1,31.0,,0.9687009443516287
413,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.1,31.0,,1.0112321242807911
414,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.1,31.0,,0.9665954403534122
415,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.1,31.0,,0.9725643876042582
416,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.1,31.0,,1.0083960015337827
417,mad_scaling_clipping_channel_trial,functional_connectivity,PLSRegression(),,passthrough,,,nan,,4.0,1.0005451950385482
418,passthrough,passthrough,Ridge,4328.7612810830615,RobustScaler(),,,nan,,,3.2464004916654203
419,passthrough,functional_connectivity,Ridge,4328.7612810830615,RobustScaler(),,,nan,,,1.0220931716555794
420,mad_scaling_clipping_channel_trial,power_phase,Ridge,4328.7612810830615,RobustScaler(),,,nan,,,1.059266034647032
421,passthrough,functional_connectivity,ExtraTreesRegressor,,RobustScaler(),,,0.1,,,1.0012181905228994
422,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.1,31.0,,0.958385280049096
423,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.1,31.0,,0.9647326129664738
424,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.1,31.0,,1.002270892094598
425,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.1,31.0,,0.9609308422841016
426,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.1,31.0,,0.9689170031471063
427,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.1,31.0,,1.0017570196861139
428,mad_scaling_clipping_channel_trial,passthrough,PLSRegression(),,RobustScaler(),,,nan,,16.0,0.9774634324661529
429,passthrough,power_phase,Ridge,0.0002310129700083158,RobustScaler(),,,nan,,,1.8862718433237955
430,mad_scaling_clipping_channel_trial,passthrough,Ridge,0.0002310129700083158,RobustScaler(),,,nan,,,1.1799767659562366
431,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,0.0002310129700083158,RobustScaler(),,,nan,,,1.0929805096441032
432,mad_scaling_clipping_channel_trial,functional_connectivity,ExtraTreesRegressor,,RobustScaler(),,,sqrt,,,0.9998608668213248
433,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,63.0,,0.9668220560630134
434,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,63.0,,0.9761208299262271
435,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,63.0,,1.0147910795120054
436,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,63.0,,0.9732018932684035
437,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,63.0,,0.9816318292820744
438,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,63.0,,1.0172451057472474
439,mad_scaling_clipping_channel_trial,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,8.0,1.0066104748777664
440,passthrough,power_phase,Ridge,151.99110829529332,passthrough,,,nan,,,1.0652362992046045
441,mad_scaling_clipping_channel_trial,passthrough,Ridge,151.99110829529332,passthrough,,,nan,,,1.1217395859899133
442,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,151.99110829529332,passthrough,,,nan,,,1.0461014092652197
443,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,63.0,,0.9587901225102118
444,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,63.0,,0.9683598627181251
445,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,63.0,,1.0056813491409085
446,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,63.0,,0.9611935516019898
447,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,63.0,,0.969458665269105
448,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.05,63.0,,1.0051722624687744
449,passthrough,passthrough,PLSRegression(),,passthrough,,,nan,,8.0,1.0027090292419052
450,passthrough,passthrough,Ridge,1e-08,RobustScaler(),,,nan,,,3.24930657835642
451,passthrough,functional_connectivity,Ridge,1e-08,RobustScaler(),,,nan,,,1.0930671955989106
452,mad_scaling_clipping_channel_trial,power_phase,Ridge,1e-08,RobustScaler(),,,nan,,,1.189725626102897
453,passthrough,passthrough,ExtraTreesRegressor,,RobustScaler(),,,sqrt,,,0.9806661806142146
454,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,31.0,,0.9611829437172207
455,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,31.0,,0.9710763571581625
456,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,31.0,,1.010303866007877
457,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,31.0,,0.9650893197196602
458,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,31.0,,0.9725854242652473
459,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,31.0,,1.008097262525953
460,passthrough,power_phase,PLSRegression(),,RobustScaler(),,,nan,,16.0,1.0308725077440244
461,passthrough,passthrough,Ridge,0.0002310129700083158,passthrough,,,nan,,,2.6918648331710204
462,passthrough,functional_connectivity,Ridge,0.0002310129700083158,passthrough,,,nan,,,1.092853318946956
463,mad_scaling_clipping_channel_trial,power_phase,Ridge,0.0002310129700083158,passthrough,,,nan,,,1.1793377223153165
464,passthrough,power_phase,ExtraTreesRegressor,,passthrough,,,sqrt,,,0.9860681527665821
465,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.1,63.0,,0.9667011231785557
466,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.1,63.0,,0.979279075003552
467,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.1,63.0,,1.014526670686759
468,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.1,63.0,,0.9720329557671167
469,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.1,63.0,,0.977381585097686
470,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.1,63.0,,1.0171000063312714
471,passthrough,functional_connectivity,PLSRegression(),,passthrough,,,nan,,8.0,1.0065091516109677
472,passthrough,passthrough,Ridge,5.3366992312063015,passthrough,,,nan,,,1.0012623479210165
473,passthrough,functional_connectivity,Ridge,5.3366992312063015,passthrough,,,nan,,,1.0880959462636899
474,mad_scaling_clipping_channel_trial,power_phase,Ridge,5.3366992312063015,passthrough,,,nan,,,1.1793930682452585
475,passthrough,functional_connectivity,ExtraTreesRegressor,,passthrough,,,sqrt,,,0.99970604429434
476,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.05,31.0,,0.9597581569346327
477,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.05,31.0,,0.9669772210484106
478,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.05,31.0,,1.0009396833947473
479,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.05,31.0,,0.9602329808570159
480,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.05,31.0,,0.9687381970298953
481,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.05,31.0,,1.0021902661425732
482,mad_scaling_clipping_channel_trial,passthrough,PLSRegression(),,passthrough,,,nan,,4.0,0.9676489648165196
483,passthrough,passthrough,Ridge,5.3366992312063015,RobustScaler(),,,nan,,,3.249299679729178
484,passthrough,functional_connectivity,Ridge,5.3366992312063015,RobustScaler(),,,nan,,,1.0920068417020035
485,mad_scaling_clipping_channel_trial,power_phase,Ridge,5.3366992312063015,RobustScaler(),,,nan,,,1.1892046928186921
486,passthrough,functional_connectivity,ExtraTreesRegressor,,RobustScaler(),,,sqrt,,,0.9996639763579914
487,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,31.0,,0.9588678794344102
488,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,31.0,,0.9655043022898219
489,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,31.0,,1.0009396833947473
490,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,31.0,,0.9602327942361436
491,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,31.0,,0.9684324549556199
492,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.05,31.0,,1.0015777239031602
493,mad_scaling_clipping_channel_trial,passthrough,PLSRegression(),,RobustScaler(),,,nan,,4.0,0.9676489648065895
494,passthrough,passthrough,Ridge,2.848035868435805e-07,RobustScaler(),,,nan,,,3.24930657835642
495,passthrough,functional_connectivity,Ridge,2.848035868435805e-07,RobustScaler(),,,nan,,,1.09306719555608
496,mad_scaling_clipping_channel_trial,power_phase,Ridge,2.848035868435805e-07,RobustScaler(),,,nan,,,1.189725626102897
497,passthrough,passthrough,ExtraTreesRegressor,,RobustScaler(),,,0.05,,,0.9752756024140229
498,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,63.0,,0.965261700686409
499,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,63.0,,0.9763708057332711
500,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,63.0,,1.0164138478034785
501,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,63.0,,0.9714442196297965
502,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,63.0,,0.9769876355393287
503,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.05,63.0,,1.0151371194532053
504,passthrough,power_phase,PLSRegression(),,RobustScaler(),,,nan,,32.0,1.0991372392070424
