,param_first_scale,param_frequency,param_model,param_model__alpha,param_second_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__n_components,nrmse
151,passthrough,power_phase,Ridge,3511191.7342151417,passthrough,,,nan,,,0.9841671176614226
152,mad_scaling_clipping_channel_trial,passthrough,Ridge,3511191.7342151417,passthrough,,,nan,,,0.967261667700442
153,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,3511191.7342151417,passthrough,,,nan,,,0.9993936862175741
154,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,0.9587958498161904
155,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,0.9663006765016925
156,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,1.0025555696750188
157,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,0.9604303057384341
158,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,0.9680803743072455
159,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,1.0014116676173703
160,passthrough,power_phase,PLSRegression(),,passthrough,,,nan,,4.0,0.989836661633172
161,passthrough,power_phase,Ridge,8.111308307896873e-06,RobustScaler(),,,nan,,,1.7619419625202888
162,mad_scaling_clipping_channel_trial,passthrough,Ridge,8.111308307896873e-06,RobustScaler(),,,nan,,,1.1802665540521433
163,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,8.111308307896873e-06,RobustScaler(),,,nan,,,1.0929805437114817
164,mad_scaling_clipping_channel_trial,power_phase,ExtraTreesRegressor,,RobustScaler(),,,0.1,,,0.9776043410069831
165,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,31.0,,0.9628433772883365
166,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,31.0,,0.9711118495332127
167,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,31.0,,1.0110417915842576
168,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,31.0,,0.9665955941143238
169,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,31.0,,0.9731663133897469
170,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.1,31.0,,1.0082888859156136
171,mad_scaling_clipping_channel_trial,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,4.0,1.0005451950385484
172,passthrough,passthrough,Ridge,0.006579332246575682,RobustScaler(),,,nan,,,3.24930657835642
173,passthrough,functional_connectivity,Ridge,0.006579332246575682,RobustScaler(),,,nan,,,1.0930661701759037
174,mad_scaling_clipping_channel_trial,power_phase,Ridge,0.006579332246575682,RobustScaler(),,,nan,,,1.189724892552021
175,passthrough,power_phase,ExtraTreesRegressor,,RobustScaler(),,,0.05,,,0.9786912312743283
176,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,31.0,,0.9659113737717846
177,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,31.0,,0.9708432215664085
178,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,31.0,,1.0115638481638305
179,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,31.0,,0.9669440015944977
180,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,31.0,,0.9728268959691379
181,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,31.0,,1.011660878457361
182,passthrough,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,16.0,1.0173925442759062
183,passthrough,passthrough,Ridge,8.111308307896873e-06,RobustScaler(),,,nan,,,3.3828614469689438
184,passthrough,functional_connectivity,Ridge,8.111308307896873e-06,RobustScaler(),,,nan,,,1.0930602577954245
185,mad_scaling_clipping_channel_trial,power_phase,Ridge,8.111308307896873e-06,RobustScaler(),,,nan,,,1.1898699647254163
186,passthrough,passthrough,ExtraTreesRegressor,,RobustScaler(),,,0.1,,,0.9740943137598806
187,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,31.0,,0.961965941456075
188,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,31.0,,0.9716078232140035
189,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,31.0,,1.0111743226138203
190,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,31.0,,0.9634707747107736
191,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,31.0,,0.9761960936576469
192,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,31.0,,1.0082892199559665
193,passthrough,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,4.0,1.0005532424136359
194,passthrough,power_phase,Ridge,151.99110829529332,RobustScaler(),,,nan,,,2.2926202718000104
