,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_first_scale,param_frequency,param_model,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,param_reduce,param_reduce__n_components,param_reshape,param_second_scale,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,nrmse_test,nrmse_train
0,1012.8839972019196,0.0,13.086099863052368,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(24,)",0.0003,TruncatedSVD(random_state=42),2048,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (24,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 2048, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.013418109332415273,-0.013418109332415273,0.0,1,0.024436882264704085,0.024436882264704085,0.0,1.0066866986964789,0.9877059874959228
0,1384.2239971160889,0.0,24.86393404006958,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.001,"(32,)",0.0003,TruncatedSVD(random_state=42),2048,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 2048, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.03944796526577665,-0.03944796526577665,0.0,1,0.03360263261603358,0.03360263261603358,0.0,1.0195332094962757,0.9830551191993084
0,780.3803172111511,0.0,10.030980110168457,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.001,"(8,)",0.0003,TruncatedSVD(random_state=42),1536,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (8,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 1536, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.013761259568598971,-0.013761259568598971,0.0,1,0.022888683121798703,0.022888683121798703,0.0,1.0068571197387437,0.9884894116166351
0,152.1712920665741,0.0,2.6281254291534424,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(16,)",0.0003,TruncatedSVD(random_state=42),256,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 256, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.00434038930374081,-0.00434038930374081,0.0,1,0.008300503685037985,0.008300503685037985,0.0,1.0021678448761668,0.9958410999325957
0,162.929785490036,0.0,2.457479476928711,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.01,"(8,)",0.0003,TruncatedSVD(random_state=42),256,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (8,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 256, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.0028219876476105465,-0.0028219876476105465,0.0,1,0.004419620159122228,0.004419620159122228,0.0,1.0014099997741237,0.9977877428796557
0,762.2182483673096,0.0,10.485682964324951,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(24,)",0.0003,TruncatedSVD(random_state=42),1536,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (24,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 1536, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.014760936098346722,-0.014760936098346722,0.0,1,0.024694930162049045,0.024694930162049045,0.0,1.007353431571237,0.9875753489420191
0,496.36854362487793,0.0,6.899543523788452,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0001,"(16,)",0.0003,TruncatedSVD(random_state=42),1024,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 1024, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.012502194270238798,-0.012502194270238798,0.0,1,0.024062884834055942,0.024062884834055942,0.0,1.0062316802159623,0.9878952956492626
0,282.32752299308777,0.0,3.718458652496338,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0001,"(24,)",0.0003,TruncatedSVD(random_state=42),512,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (24,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 512, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.008746272347579964,-0.008746272347579964,0.0,1,0.01902963145062675,0.01902963145062675,0.0,1.0043636156032236,0.9904394825275158
0,1053.3289651870728,0.0,13.15135645866394,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.001,"(8,)",0.0003,TruncatedSVD(random_state=42),2048,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (8,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 2048, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.02307594060125795,-0.02307594060125795,0.0,1,0.026761290788340997,0.026761290788340997,0.0,1.011472165015557,0.9865286155057333
0,732.2992527484894,0.0,9.913806676864624,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.01,"(24,)",0.0003,TruncatedSVD(random_state=42),1536,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (24,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 1536, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.0071159279191042035,-0.0071159279191042035,0.0,1,0.01739227476775762,0.01739227476775762,0.0,1.0035516568264458,0.9912657187819229
0,999.4639549255371,0.0,13.06102466583252,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0003,"(16,)",0.0003,TruncatedSVD(random_state=42),2048,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0003, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 2048, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.05404033405143793,-0.05404033405143793,0.0,1,0.03588495145360571,0.03588495145360571,0.0,1.0266646648499391,0.9818936034756486
0,831.5843186378479,0.0,13.775532245635986,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(16,)",0.0003,TruncatedSVD(random_state=42),1536,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 1536, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.012855461945265656,-0.012855461945265656,0.0,1,0.02147922122540824,0.02147922122540824,0.0,1.0064072048357293,0.9892020919784752
