,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,nrmse
1,5202.477298259735,0.0,72.42559814453125,0.0,mad_scaling_clipping_channel_trial,power_phase_stft,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.0,0.1,0.1,63.0,20.0,"{'first_scale': FunctionTransformer(func=<function mad_scaling_clipping_channel_trial at 0x7fb1ce0fbd80>), 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.0, 'model__learning_rate': 0.1, 'model__max_features': 0.1, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.08383886269296681,0.08383886269296681,0.0,1,0.9571630672497937
0,1072.7158608436584,0.0,57.760234117507935,0.0,mad_scaling_clipping_trial_time,power_phase_stft,Ridge,3511191.7342151417,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),RobustScaler(copy=False),,,,,,"{'first_scale': FunctionTransformer(func=<function mad_scaling_clipping_trial_time at 0x7fb1ce0fbe20>), 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': Ridge(solver='lsqr'), 'model__alpha': 3511191.7342151417, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': RobustScaler(copy=False)}",0.057287048389282,0.057287048389282,0.0,2,0.970934061412369
1,4529.25510430336,0.0,72.79625296592712,0.0,mad_scaling_clipping_trial_time,power_phase_stft,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),RobustScaler(copy=False),0.0,0.05,0.2,31.0,20.0,"{'first_scale': FunctionTransformer(func=<function mad_scaling_clipping_trial_time at 0x7fb1ce0fbe20>), 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.0, 'model__learning_rate': 0.05, 'model__max_features': 0.2, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': RobustScaler(copy=False)}",0.09517833337126091,0.09517833337126091,0.0,1,0.9512211449651122
0,2261.6166059970856,0.0,40.503392696380615,0.0,mad_scaling_clipping_trial_time,power_phase_stft,Ridge,2.848035868435805e-07,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,,,,,,"{'first_scale': FunctionTransformer(func=<function mad_scaling_clipping_trial_time at 0x7fb1ce0fbe20>), 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': Ridge(solver='lsqr'), 'model__alpha': 2.848035868435805e-07, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",-1.1074570804563169,-1.1074570804563169,0.0,2,1.4517083317444717
1,3554.1936461925507,0.0,46.71542143821716,0.0,mad_scaling_clipping_channel_trial,power_phase_stft,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.001,0.1,0.05,63.0,20.0,"{'first_scale': FunctionTransformer(func=<function mad_scaling_clipping_channel_trial at 0x7fb1ce0fbd80>), 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.1, 'model__max_features': 0.05, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.07847530970477512,0.07847530970477512,0.0,1,0.9599607753940912
0,389.0627808570862,0.0,32.85801458358765,0.0,passthrough,power_phase_stft,Ridge,0.18738174228603868,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,,,,,,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': Ridge(solver='lsqr'), 'model__alpha': 0.18738174228603868, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",-0.33226973100120283,-0.33226973100120283,0.0,2,1.1542398931769786
1,4617.323389291763,0.0,37.625309228897095,0.0,passthrough,power_phase_stft,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.001,0.1,0.2,63.0,20.0,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.1, 'model__max_features': 0.2, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.07989051824925764,0.07989051824925764,0.0,1,0.9592233742725114
0,349.0400013923645,0.0,30.328726768493652,0.0,passthrough,power_phase_stft,Ridge,1e-08,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,,,,,,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': Ridge(solver='lsqr'), 'model__alpha': 1e-08, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",-0.3323260431340833,-0.3323260431340833,0.0,2,1.1542642865193757
1,2786.88329410553,0.0,33.817200899124146,0.0,passthrough,power_phase_stft,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.001,0.1,0.05,31.0,20.0,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.1, 'model__max_features': 0.05, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.09214626047024588,0.09214626047024588,0.0,1,0.9528135911760254
0,389.5472991466522,0.0,29.686237573623657,0.0,passthrough,power_phase_stft,Ridge,151.99110829529332,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,,,,,,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fb1ce0fb6a0>), 'model': Ridge(solver='lsqr'), 'model__alpha': 151.99110829529332, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",-0.32990055294259624,-0.32990055294259624,0.0,2,1.1532131428936268
