,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__max_features,param_model__l2_regularization,param_model__learning_rate,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_components,nrmse
29,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.001,0.05,63.0,20.0,,0.9640490400424819
30,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.001,0.1,63.0,20.0,,0.9747978986956672
31,mad_scaling_clipping_channel_trial,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,8.0,0.971988842434733
32,passthrough,power_phase_temporal,Ridge,0.006579332246575682,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,4.7257523688221585
33,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,1e-08,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.5591394881189677
34,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,4328.7612810830615,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.0725338953405799
35,mad_scaling_clipping_channel_trial,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,,,,,,0.9741011717762706
36,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.0,0.1,31.0,20.0,,0.9658449544058056
37,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.001,0.05,31.0,20.0,,0.9583396909680019
38,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.001,0.1,31.0,20.0,,0.9625080031293816
39,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.0,0.1,31.0,20.0,,0.9697742566130694
40,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.001,0.05,31.0,20.0,,0.962327731148708
