,param_frequency,param_model,param_model__alpha,param_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__n_components,nrmse
169,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.1,0.2,31.0,,1.0126251543823341
170,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.1,0.2,31.0,,1.0126247304370977
171,bandpower_canonical,PLSRegression(),,mad_scaling_clipping_channel,,,nan,,16.0,1.0053220750236964
172,passthrough,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel,,,nan,,,1.2457227855318265
173,power_phase,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel,,,nan,,,1.1424322305311725
174,bandpower_canonical,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel,,,nan,,,1.0096565898337535
175,passthrough,ExtraTreesRegressor,,mad_scaling_clipping_channel,,,0.1,,,0.9695315701681607
176,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.05,0.2,63.0,,0.9596512291742865
177,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.05,0.2,63.0,,0.9603562002770286
178,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.05,0.2,63.0,,0.9692747494118606
179,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.05,0.2,63.0,,0.9677762783722321
180,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.05,0.2,63.0,,1.0056640962905283
181,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.05,0.2,63.0,,1.0066933396773368
182,power_phase,PLSRegression(),,mad_scaling_clipping_channel,,,nan,,8.0,0.9911837861072446
183,passthrough,Ridge,2.848035868435805e-07,mad_scaling_clipping_channel,,,nan,,,1.2443164622453706
184,power_phase,Ridge,2.848035868435805e-07,mad_scaling_clipping_channel,,,nan,,,1.1448937566901742
185,bandpower_canonical,Ridge,2.848035868435805e-07,mad_scaling_clipping_channel,,,nan,,,1.0088851895707935
186,passthrough,ExtraTreesRegressor,,mad_scaling_clipping_channel,,,0.05,,,0.9713046224330697
187,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.05,0.2,31.0,,0.9586795249351564
188,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.05,0.2,31.0,,0.9586794665005455
189,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.05,0.2,31.0,,0.9675168786161065
190,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.05,0.2,31.0,,0.9679871952089938
191,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.05,0.2,31.0,,1.0039496564842127
192,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.05,0.2,31.0,,1.0039495171419535
193,power_phase,PLSRegression(),,mad_scaling_clipping_channel,,,nan,,4.0,0.9914700256963468
194,passthrough,Ridge,2.848035868435805e-07,passthrough,,,nan,,,4.095896435115906
195,power_phase,Ridge,2.848035868435805e-07,passthrough,,,nan,,,1.0695985556301677
196,bandpower_canonical,Ridge,2.848035868435805e-07,passthrough,,,nan,,,1.0048234045294477
197,passthrough,ExtraTreesRegressor,,passthrough,,,0.05,,,0.9751548475379547
198,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,0.9591766875947684
199,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,0.9591765988965235
200,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,0.966641373591995
201,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,0.9659146059223339
202,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,31.0,,1.0028261793228759
203,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,1.0026701853442281
204,power_phase,PLSRegression(),,passthrough,,,nan,,4.0,0.9898366617567171
205,passthrough,Ridge,123284.67394420685,mad_scaling_clipping_channel_trial,,,nan,,,0.9682611094597263
206,power_phase,Ridge,123284.67394420685,mad_scaling_clipping_channel_trial,,,nan,,,1.0301804577212041
207,bandpower_canonical,Ridge,123284.67394420685,mad_scaling_clipping_channel_trial,,,nan,,,0.9992835689963109
208,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.05,31.0,,0.9617552525481343
209,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.05,31.0,,0.9617551511052709
210,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.05,31.0,,0.9684237062900128
211,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.05,31.0,,0.9683541509060603
212,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.05,31.0,,1.0024311562308716
213,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.05,31.0,,1.0019967917874149
214,passthrough,PLSRegression(),,mad_scaling_clipping_channel_trial,,,nan,,4.0,0.9676489648165197
215,passthrough,Ridge,0.18738174228603868,mad_scaling_clipping_channel,,,nan,,,1.2423457221051708
216,power_phase,Ridge,0.18738174228603868,mad_scaling_clipping_channel,,,nan,,,1.1355144901112881
217,bandpower_canonical,Ridge,0.18738174228603868,mad_scaling_clipping_channel,,,nan,,,1.0088467200385098
218,power_phase,ExtraTreesRegressor,,mad_scaling_clipping_channel,,,0.1,,,0.977048690465138
219,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.1,0.1,31.0,,0.9618578366270134
220,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.1,0.1,31.0,,0.9618575771755062
221,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.1,0.1,31.0,,0.9705411860984162
222,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.1,0.1,31.0,,0.9705409077563852
223,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.1,0.1,31.0,,1.0130021858465603
224,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.1,0.1,31.0,,1.0122325481595755
225,bandpower_canonical,PLSRegression(),,mad_scaling_clipping_channel,,,nan,,4.0,0.9996462865665733
226,passthrough,Ridge,4328.7612810830615,mad_scaling_clipping_channel_trial,,,nan,,,1.0061805495133227
227,power_phase,Ridge,4328.7612810830615,mad_scaling_clipping_channel_trial,,,nan,,,1.1525583285320473
228,bandpower_canonical,Ridge,4328.7612810830615,mad_scaling_clipping_channel_trial,,,nan,,,0.9994222161048106
229,bandpower_canonical,ExtraTreesRegressor,,mad_scaling_clipping_channel_trial,,,0.1,,,0.997516803032816
230,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.1,0.2,63.0,,0.9719947916939714
231,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.1,0.2,63.0,,0.9693047492984419
232,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.1,0.2,63.0,,0.9750398573796337
233,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.1,0.2,63.0,,0.9830011923476119
234,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.1,0.2,63.0,,1.0150690887454639
235,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.1,0.2,63.0,,1.015082668849864
236,bandpower_canonical,PLSRegression(),,mad_scaling_clipping_channel_trial,,,nan,,32.0,1.0051982314990056
